Nazwa odbiorcy,Ulica,Miejscowość,Kod pocztowy,Kraj,Wymiary (cm),Waga (kg),Carrier,Metoda wysylki,Cena API,Waluta,Cena API (PLN),Cena cennik (PLN),Roznica (PLN)
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","FedEx","International Priority","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","FedEx","International Priority Freight","776.85","PLN","776.85","776.85","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","FedEx","Regional Economy Freight","174.11","PLN","174.11","174.11","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","FedEx","Regional Economy","22.15","PLN","22.15","22.15","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","FedEx","International Connect Plus","527.05","PLN","527.05","527.05","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","FedEx","International Priority Express","26.51","PLN","26.51","30.82","-4.31"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","DPD","Courier service","12.00","EUR","51.60","51.60","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","Schenker","System","72.85","EUR","313.25","",""
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","Schenker","System Premium","98.35","EUR","422.91","",""
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","UPS Polska","UPS Standard","49.90","PLN","49.90","49.90","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","93.85","-21.97"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","113.36","-16.47"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","FedEx","International First®","1451.33","PLN","1451.33","1451.33","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Dublin","O'Connell Street 35","Dublin","D01V9W3","IE","10x10x10","2","FedEx","International Priority Express","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","DPD","Courier service","10.00","EUR","43.00","43.00","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","Schenker","System","55.65","EUR","239.30","",""
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","Schenker","System Premium","75.13","EUR","323.06","",""
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","UPS Polska","UPS Standard","48.10","PLN","48.10","48.10","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Helsinki","Aleksanterinkatu 52","Helsinki","00100","FI","10x10x10","2","FedEx","International Priority Express","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","Schenker","System Premium","91.52","EUR","393.54","",""
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","Schenker","System","67.79","EUR","291.50","",""
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","DPD","Courier service","8.00","EUR","34.40","34.40","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","FedEx","International Priority","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","FedEx","International Priority Freight","776.85","PLN","776.85","776.85","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","FedEx","Regional Economy Freight","174.11","PLN","174.11","174.11","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","FedEx","Regional Economy","22.15","PLN","22.15","22.15","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","FedEx","International First®","1395.33","PLN","1395.33","1395.33","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","FedEx","International Connect Plus","527.05","PLN","527.05","527.05","0.00"
"Odbiorca Kopenhaga","Strøget 20","København","1159","DK","10x10x10","2","FedEx","International Priority Express","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","Schenker","System","66.78","EUR","287.15","",""
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","Schenker","System Premium","90.15","EUR","387.65","",""
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","DPD","Courier service","10.00","EUR","43.00","43.00","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","UPS Polska","UPS Standard","48.10","PLN","48.10","48.10","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","FedEx","Europe First Priority","1451.33","PLN","1451.33","1451.33","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Sztokholm","Drottninggatan 33","Stockholm","11151","SE","10x10x10","2","FedEx","International Priority Express","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","DPD","Courier service","20.00","EUR","86.00","86.00","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","Schenker","System","78.92","EUR","339.36","",""
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","Schenker","System Premium","106.54","EUR","458.12","",""
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","UPS Polska","UPS Standard","49.90","PLN","49.90","49.90","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Ateny","Ermou 50","Athina","10563","GR","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","DPD","Courier service","15.00","EUR","64.50","64.50","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","Schenker","System","115.35","EUR","496.00","",""
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","Schenker","System Premium","155.72","EUR","669.60","",""
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","UPS Polska","UPS Standard","49.90","PLN","49.90","49.90","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","93.85","-21.97"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","113.36","-16.47"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","FedEx","International First®","1451.33","PLN","1451.33","1451.33","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Lizbona","Praça do Comércio 10","Lisboa","1100-148","PT","10x10x10","2","FedEx","International Priority Express","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","DPD","Courier service","7.00","EUR","30.10","30.10","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","Schenker","System","56.66","EUR","243.64","",""
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","Schenker","System Premium","76.49","EUR","328.91","",""
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","DHL Express","Economy Select","93.79","PLN","93.79","93.79","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","FedEx","International Priority","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","FedEx","International Priority Freight","776.85","PLN","776.85","776.85","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","FedEx","Regional Economy Freight","174.11","PLN","174.11","174.11","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","FedEx","Regional Economy","22.15","PLN","22.15","22.15","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","FedEx","International First®","1395.33","PLN","1395.33","1395.33","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","FedEx","International Connect Plus","527.05","PLN","527.05","527.05","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","FedEx","International Priority Express","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","UPS Polska","UPS Express","75.71","PLN","75.71","75.71","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","UPS Polska","UPS Express Saver","70.11","PLN","70.11","70.11","0.00"
"Odbiorca Bruksela","Grand Place 15","Bruxelles","1000","BE","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","DPD","Courier service","8.00","EUR","34.40","34.40","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","Schenker","System Premium","83.32","EUR","358.28","",""
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","Schenker","System","61.72","EUR","265.40","",""
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","DHL Express","Express Worldwide","56.32","PLN","56.32","56.32","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","DHL Express","Economy Select","93.79","PLN","93.79","93.79","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","FedEx","International Priority","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","FedEx","International Priority Freight","776.85","PLN","776.85","776.85","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","FedEx","Regional Economy Freight","174.11","PLN","174.11","174.11","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","FedEx","Regional Economy","22.15","PLN","22.15","22.15","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","FedEx","International First®","1395.33","PLN","1395.33","1395.33","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","FedEx","International Connect Plus","527.05","PLN","527.05","527.05","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","FedEx","International Priority Express","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","UPS Polska","UPS Express","75.71","PLN","75.71","75.71","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","UPS Polska","UPS Express Saver","70.11","PLN","70.11","70.11","0.00"
"Odbiorca Amsterdam","Dam 1","Amsterdam","1012JS","NL","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","DPD","Courier service","7.00","EUR","30.10","30.10","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","Schenker","System","44.52","EUR","191.44","",""
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","Schenker","System Premium","60.10","EUR","258.43","",""
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","DHL Express","Economy Select","89.44","PLN","89.44","89.44","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","UPS Polska","UPS Express","70.01","PLN","70.01","70.01","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","UPS Polska","UPS Express Saver","64.83","PLN","64.83","64.83","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","UPS Polska","UPS Standard","48.43","PLN","48.43","48.43","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","FedEx","International Priority","24.38","PLN","24.38","24.38","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","FedEx","International Priority Freight","426.04","PLN","426.04","426.04","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","FedEx","Regional Economy Freight","139.90","PLN","139.90","139.90","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","FedEx","Regional Economy","21.80","PLN","21.80","21.80","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","FedEx","International First®","1293.33","PLN","1293.33","1293.33","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","FedEx","International Connect Plus","493.28","PLN","493.28","493.28","0.00"
"Odbiorca Praga","Václavské náměstí 56","Praha","11000","CZ","10x10x10","2","FedEx","International Priority Express","24.38","PLN","24.38","24.38","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","DPD","Courier service","8.00","EUR","34.40","34.40","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","Schenker","System","58.68","EUR","252.32","",""
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","Schenker","System Premium","79.22","EUR","340.65","",""
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","DHL Express","Express Worldwide","56.32","PLN","56.32","56.32","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","DHL Express","Economy Select","93.79","PLN","93.79","93.79","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","UPS Polska","UPS Express","75.71","PLN","75.71","75.71","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","UPS Polska","UPS Express Saver","70.11","PLN","70.11","70.11","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","UPS Polska","UPS Standard","42.28","PLN","42.28","42.28","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","FedEx","International Priority","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","FedEx","International Priority Freight","776.85","PLN","776.85","776.85","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","FedEx","Regional Economy Freight","174.11","PLN","174.11","174.11","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","FedEx","Regional Economy","22.15","PLN","22.15","22.15","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","FedEx","International First®","1395.33","PLN","1395.33","1395.33","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","FedEx","International Connect Plus","527.05","PLN","527.05","527.05","0.00"
"Odbiorca Wiedeń","Kärntner Straße 25","Wien","1010","AT","10x10x10","2","FedEx","International Priority Express","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","DPD","Courier service","13.00","EUR","55.90","55.90","0.00"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","Schenker","System","67.79","EUR","291.50","",""
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","Schenker","System Premium","91.52","EUR","393.54","",""
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","UPS Polska","UPS Express","75.71","PLN","75.71","75.71","0.00"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","UPS Polska","UPS Express Saver","70.11","PLN","70.11","70.11","0.00"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","UPS Polska","UPS Standard","48.10","PLN","48.10","48.10","0.00"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","DHL Express","Express Worldwide","56.32","PLN","56.32","73.81","-17.49"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","DHL Express","Economy Select","93.79","PLN","93.79","109.73","-15.94"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","FedEx","International Priority","26.51","PLN","26.51","30.82","-4.31"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","FedEx","International Priority Freight","776.85","PLN","776.85","903.09","-126.24"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","FedEx","Regional Economy Freight","174.11","PLN","174.11","190.65","-16.54"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","FedEx","Regional Economy","22.15","PLN","22.15","24.25","-2.10"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","FedEx","International Connect Plus","527.05","PLN","527.05","698.34","-171.29"
"Odbiorca Rzym","Via del Corso 303","Roma","00186","IT","10x10x10","2","FedEx","International Priority Express","26.51","PLN","26.51","30.82","-4.31"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","Schenker","System","74.87","EUR","321.94","",""
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","Schenker","System Premium","101.07","EUR","434.60","",""
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","DPD","Courier service","14.00","EUR","60.20","60.20","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","UPS Polska","UPS Standard","48.10","PLN","48.10","48.10","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International First®","1451.33","PLN","1451.33","1451.33","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Madryt","Gran Vía 32","Madrid","28013","ES","10x10x10","2","FedEx","International Priority Express","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","DPD","Courier service","7.50","EUR","32.25","32.25","0.00"
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","Schenker","System","71.84","EUR","308.91","",""
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","Schenker","System Premium","96.98","EUR","417.01","",""
"Odbiorca Paryż","Avenue des Champs-Élysées 101","Paris","75008","FR","10x10x10","2","DHL Express","Express Worldwide","56.32","PLN","56.32","56.32","0.00"
